Delivery ID,Date,Day,Time Slot,Neighborhood,Referring Agency,Family Size,Furniture Items,Truck,Driver,Status,Risk Flag
D1021,2026-04-30,Thursday,11:00 AM,Malvern,CAMH,6,Living room set,Truck 5,Devon L.,Completed,
D1022,2026-04-30,Thursday,11:30 AM,North York,Salvation Army,1,Dining table + 4 chairs,Truck 1,Devon L.,Scheduled,
D1023,2026-04-30,Thursday,01:00 PM,North York,Dixon Hall,6,Living room set,Truck 5,Devon L.,Completed,
D1024,2026-04-30,Thursday,09:00 AM,Weston,COSTI Immigrant Services,3,Sofa + coffee table,Truck 1,Priya S.,Scheduled,
D1025,2026-05-01,Friday,01:00 PM,Downtown East,Fred Victor,4,Kitchen essentials + bed,Truck 5,Sandra W.,Scheduled,
D1026,2026-05-01,Friday,08:00 AM,Malvern,Sketch,6,Dresser + bed frame,Truck 4,Priya S.,At Risk,Client unreachable
D1027,2026-05-01,Friday,02:00 PM,North York,Toronto Community Housing,2,Sofa + coffee table,Truck 1,Omar K.,Scheduled,
D1028,2026-05-01,Friday,01:30 PM,Jane-Finch,Eva's Initiatives,2,Dresser + bed frame,Truck 2,Omar K.,Scheduled,
D1029,2026-05-01,Friday,11:00 AM,North York,Dixon Hall,2,Kitchen essentials + bed,Truck 1,Sandra W.,Scheduled,
D1030,2026-05-01,Friday,11:30 AM,Scarborough,Sketch,4,Sofa + coffee table,Truck 4,Devon L.,Scheduled,
D1031,2026-05-01,Friday,11:30 AM,Weston,Sketch,6,Living room set,Truck 4,Priya S.,Scheduled,
D1032,2026-05-01,Friday,09:30 AM,Weston,Regeneration Community Services,6,Bed frame + mattress,Truck 2,Marcus T.,At Risk,Client unreachable
D1033,2026-05-01,Friday,08:00 AM,Weston,Covenant House,1,Sofa + coffee table,Truck 5,Omar K.,Scheduled,
D1034,2026-05-02,Saturday,03:00 PM,Downtown East,COSTI Immigrant Services,1,Dresser + bed frame,Truck 1,Sandra W.,Scheduled,
D1035,2026-05-02,Saturday,09:00 AM,Lawrence Heights,Sketch,5,Full bedroom set,Truck 5,Marcus T.,Completed,
D1036,2026-05-02,Saturday,10:00 AM,Malvern,CAMH,6,Sofa + coffee table,Truck 3,Devon L.,Scheduled,
D1037,2026-05-02,Saturday,10:30 AM,Regent Park,Dixon Hall,5,Full bedroom set,Truck 3,Marcus T.,Cancelled,
D1038,2026-05-02,Saturday,08:00 AM,Thorncliffe Park,Eva's Initiatives,2,Bed frame + mattress,Truck 5,Priya S.,Scheduled,
D1039,2026-05-02,Saturday,10:00 AM,Lawrence Heights,CAMH,6,Kitchen essentials + bed,Truck 4,Sandra W.,Scheduled,
D1040,2026-05-02,Saturday,08:30 AM,North York,CAMH,6,Bed frame + mattress,Truck 1,Devon L.,Completed,
D1041,2026-05-02,Saturday,09:30 AM,Thorncliffe Park,Salvation Army,6,Sofa + coffee table,Truck 3,Sandra W.,Completed,
D1042,2026-05-02,Saturday,03:30 PM,Scarborough,CAMH,6,Bed frame + mattress,Truck 5,Omar K.,Cancelled,
D1043,2026-05-02,Saturday,08:00 AM,Etobicoke,CAMH,4,Living room set,Truck 3,Devon L.,At Risk,Truck capacity conflict
